"Translaton between Mod1 Outputs and PV names generates read1400coils.substitutions",,,,,,
"IOC Offset",".DESC field","IOC PV Name","Meaning of 1 State","Meaning of 0 State","Modicon Output #",Alias
,,,,,,
0,"Pump Grp 1 Selected -VMU Relay-","VAC:PumpGrp1Selected:Status","Selected","Not Selected",1,"MOD1:Coil0001:Read"
1,"Pump Grp 2 Selected -VMU Relay-","VAC:PumpGrp2Selected:Status","Selected","Not Selected",2,"MOD1:Coil0002:Read"
2,"Pump Grp SWM Selected -VMU Relay-","VAC:PumpGrpSWMSelected:Status","Selected","Not Selected",3,"MOD1:Coil0003:Read"
3,"Pump Grp Z1 Selected -VMU Relay-","VAC:PumpGrpZ1Selected:Status","Selected","Not Selected",4,"MOD1:Coil0004:Read"
4,"Pump Grp A1 Selected -VMU Relay-","VAC:PumpGrpA1Selected:Status","Selected","Not Selected",5,"MOD1:Coil0005:Read"
5,"Pump Grp A2 Selected -VMU Relay-","VAC:PumpGrpA2Selected:Status","Selected","Not Selected",6,"MOD1:Coil0006:Read"
6,"Pump Grp B1 Selected -VMU Relay-","VAC:PumpGrpB1Selected:Status","Selected","Not Selected",7,"MOD1:Coil0007:Read"
7,"Pump Grp B2 Selected -VMU Relay-","VAC:PumpGrpB2Selected:Status","Selected","Not Selected",8,"MOD1:Coil0008:Read"
8,"Pump Grp C1 Selected -VMU Relay-","VAC:PumpGrpC1Selected:Status","Selected","Not Selected",9,"MOD1:Coil0009:Read"
9,"xx","CoilBlank0010","One","Zero",10,"MOD1:Coil0010:Read"
10,"Penning Of Selected Grp On -VMU Relay-","VAC:GrpSelectedPenningOn:Status","Penning On","Penning Not On",11,"MOD1:Coil0011:Read"
11,"Backing Pres Selected -VMU Relay-","VAC:BackingPresSelected:Status","Selected","Not Selected",12,"MOD1:Coil0012:Read"
12,"xx","CoilBlank0013","One","Zero",13,"MOD1:Coil0013:Read"
13,"xx","CoilBlank0014","One","Zero",14,"MOD1:Coil0014:Read"
14,"xx","CoilBlank0015","One","Zero",15,"MOD1:Coil0015:Read"
15,"xx","CoilBlank0016","One","Zero",16,"MOD1:Coil0016:Read"
16,"Gas Selection Local Lamp","CCC:GasSelectionLocal:Status","Local","Not Local",17,"MOD1:Coil0017:Read"
17,"No Gas Selected Lamp","CCC:NoGasSelectedLamp:Status","No Gas Selected","Gas Selected",18,"MOD1:Coil0018:Read"
18,"Protons Selected Lamp","CCC:ProtonsSelected:Status","Protons","Not Protons",19,"MOD1:Coil0019:Read"
19,"H2+ Selected Lamp","CCC:H2+Selected:Status","H2+","Not H2+",20,"MOD1:Coil0020:Read"
20,"Deuterons Selected Lamp","CCC:DeutSelected:Status","Deuterons","Not Deuterons",21,"MOD1:Coil0021:Read"
21,"3-Helium Selected Lamp","CCC:3HeSelected:Status","3He","Not 3He",22,"MOD1:Coil0022:Read"
22,"4-Helium Selected Lamp","CCC:4HeSelected:Status","4He","Not 4He",23,"MOD1:Coil0023:Read"
23,"Air Selected Lamp","CCC:AirSelected:Status","Air ","Not Air",24,"MOD1:Coil0024:Read"
24,"xx","CoilBlank0025","One","Zero",25,"MOD1:Coil0025:Read"
25,"xx","CoilBlank0026","One","Zero",26,"MOD1:Coil0026:Read"
26,"xx","CoilBlank0027","One","Zero",27,"MOD1:Coil0027:Read"
27,"xx","CoilBlank0028","One","Zero",28,"MOD1:Coil0028:Read"
28,"xx","CoilBlank0029","One","Zero",29,"MOD1:Coil0029:Read"
29,"xx","CoilBlank0030","One","Zero",30,"MOD1:Coil0030:Read"
30,"xx","CoilBlank0031","One","Zero",31,"MOD1:Coil0031:Read"
31,"xx","CoilBlank0032","One","Zero",32,"MOD1:Coil0032:Read"
32,"PGSWM Turbo Pump On Command","PGSWM:TurboPumpOn:CMD","On","Not On",33,"MOD1:Coil0033:Read"
33,"PGSWM Turbo Pump Slow Command","PGSWM:TurboPumpSlow:CMD","Slow","Not Slow",34,"MOD1:Coil0034:Read"
34,"PGZ1 Turbo Pump On Command","PGZ1:TurboPumpOn:CMD","On","Not On",35,"MOD1:Coil0035:Read"
35,"PGZ1 Turbo Pump Slow Command","PGZ1:TurboPumpSlow:CMD","Slow","Not Slow",36,"MOD1:Coil0036:Read"
36,"PGA1 Turbo Pump On Command","PGA1:TurboPumpOn:CMD","On","Not On",37,"MOD1:Coil0037:Read"
37,"PGA1 Turbo Pump Slow Command","PGA1:TurboPumpSlow:CMD","Slow","Not Slow",38,"MOD1:Coil0038:Read"
38,"PGA2 Turbo Pump On Command","PGA2:TurboPumpOn:CMD","On","Not On",39,"MOD1:Coil0039:Read"
39,"PGA2 Turbo Pump Slow Command","PGA2:TurboPumpSlow:CMD","Slow","Not Slow",40,"MOD1:Coil0040:Read"
40,"PGB1 Turbo Pump On Command","PGB1:TurboPumpOn:CMD","On","Not On",41,"MOD1:Coil0041:Read"
41,"PGB1 Turbo Pump Slow Command","PGB1:TurboPumpSlow:CMD","Slow","Not Slow",42,"MOD1:Coil0042:Read"
